,country,page,rev_id
13792,South Ossetian,Gerasim Khugayev,760473192
13793,South Ossetian,Igor Sanakoyev,760473237
13794,South Ossetian,Zurab Kokoyev,760473273
14052,Montserratian,Adrian Davis (governor),762009545
14202,Chechen,Alibek Delimkhanov,762868684
14208,Guernsey,Bailiff of Guernsey,762910285
14348,Rhodesian,Francis Chaplin,763530115
14352,Rhodesian,Roger Hawkins (politician),763533706
14356,Rhodesian,George Mitchell (Rhodesia),763540238
14406,Greenlandic,Asii Chemnitz Narup,763742018
14414,Niuean,Robert Rex,763768679
14415,Cook Island,Norman George,763769083
14416,Cook Island,John Tangi,763769086
14417,Cook Island,Vai Peua,763769088
14418,Cook Island,Teariki Heather,763769233
14420,Cook Island,George Angene,763769688
14421,Cook Island,Albert (Peto) Nicholas,763770488
14423,Cook Island,Tupou Faireka,763774025
14424,Cook Island,Mark Brown (Cook Islands),763774066
14425,Cook Island,Nandi Glassie,763774069
14426,Cook Island,Apii Piho,763775030
14427,Cook Island,Winton Pickering,763775034
14428,Cook Island,Albert Nicholas (Cook Islands),763775035
14429,Cook Island,Vincent Ingram,763775867
14430,Cook Island,Terepai Maoate Jnr,763775893
14431,Cook Island,Toanui Isamaela,763776103
14432,Cook Island,Tangata Vavia,763776191
14433,Cook Island,Taunga Toka,763776193
14434,Cook Island,Teremoana Tapi Taio,763776229
14435,Cook Island,Tepure Tapaitau,763776231
14436,Cook Island,Mapu Taia,763776235
14437,Cook Island,Pupuke Robati,763776270
14438,Cook Island,Wilkie Rasmussen,763776271
14440,Cook Island,Tai Tura,763776737
14441,Cook Island,Tekii Lazaro,763776768
14442,Cook Island,Kura Strickland,763776806
14443,Cook Island,Mii Parima,763776808
14444,Cook Island,Joe Williams (Cook Islands politician),763776856
14445,Cook Island,Kiriau Turepu,763776860
14462,Rhodesian,John Landau,763870152
14483,Rhodesian,Byron Hove,763951988
14551,Ivorian,Henri Konan Bédié,764345360
14587,Pitcairn Islands,Richard Fell,764601118
14795,Cape Colony,Henry Juta,765333482
14844,Chechen,Beibulat Taimiev,765616552
14915,Faroese,Jóannes Eidesgaard,765947137
14916,Faroese,Jógvan á Lakjuni,765947416
14957,Niuean,Atapana Siakimotu,766068997
14958,Niuean,Ahohiva Levi,766068998
14959,Niuean,Bill Vakaafi Motufoou,766069253
14960,Niuean,Pokotoa Sipeli,766069256
14961,Niuean,Terry Coe,766069372
14962,Niuean,Togiavalu Pihigia,766069407
14963,Niuean,Hima Douglas,766069520
14964,Niuean,Dalton Tagelagi,766069576
14980,South Ossetian,Lyudvig Chibirov,766130279
15056,Jersey,Vernon Tomes,766480006
15073,Ivorian,Affoussiata Bamba-Lamine,766524815
15123,Cook Island,Inatio Akaruru,766806728
15130,Rhodesian,Hilary Squires,766847256
15161,Cook Island,Terepai Maoate,767048874
15162,Cook Island,Deputy Prime Minister of the Cook Islands,767048881
15224,Ivorian,Lambert Amon Tanoh,767265950
15367,Cape Colony,Simeon Jacobs,767856232
15400,Cook Island,Atatoa Herman,767994335
15509,Ivorian,Jean-Louis Billon,768302622
15584,Guernsey,Ambrose Sherwill,768625520
15595,Montserratian,David G. P. Taylor,768679602
15812,Carniolan,Ivan Tavčar,769425247
15864,Ivorian,Robert Beugré Mambé,769591168
15957,Niuean,Michael Jackson (journalist),770018880
15977,Montserratian,Sarita Francis,770131970
